study,method,n,historical_verdict,comparator,source,retrospective_category,e_hull,delta_e_hull,e_hull_source_column,nus,delta_nus,nus_source_column,stable,delta_stable,stable_source_column,novel,delta_novel,novel_source_column,unique,delta_unique,unique_source_column,rmsd,delta_rmsd,rmsd_source_column,atomic_force,delta_atomic_force,atomic_force_source_column,max_force,delta_max_force,max_force_source_column,steps,delta_steps,steps_source_column,tail_status,speed_cost_note,relaxation_steps_gt400_count,structure_max_force_gt1_count,structure_max_force_gt2_count,attempts,speedup,post_relax_max_force,delta_post_relax_max_force
cross_field_interaction_p0,MLP,8,CONTROL; study verdict: GO,C0,experiments/cross_field_interaction_p0/quality_results.csv,Comparator; see within-cohort deltas,0.1486924031501694,-0.006076211671447396,e_hull_mean_ev_per_atom,0.125,-12.5,nus,0.375,-12.5,stable,0.75,0.0,novel,1.0,0.0,unique,0.2043146606230326,-0.1058073676154146,rmsd_mean_a,0.243590596532213,-0.00900129141753303,atomic_force_mean_ev_per_a,0.5612600411064272,0.05868864510090188,structure_max_force_mean_ev_per_a,56.75,-102.5,relaxation_steps_mean,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,,,
cross_field_interaction_p0,CFI,8,GO,C0,experiments/cross_field_interaction_p0/quality_results.csv,A-like exploratory; n=8 only,0.0827398748068759,-0.0720287400147409,e_hull_mean_ev_per_atom,0.5,25.0,nus,0.625,12.5,stable,0.875,12.5,novel,1.0,0.0,unique,0.0818844529595459,-0.22823757527890132,rmsd_mean_a,0.2637732824270977,0.01118139447735167,atomic_force_mean_ev_per_a,0.4556908118495473,-0.04688058415597807,structure_max_force_mean_ev_per_a,96.375,-62.875,relaxation_steps_mean,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,,,
cross_field_interaction_p1,MLP,32,CONTROL; study verdict: FAIL,C0,experiments/cross_field_interaction_p1/quality_results.csv,Comparator; see within-cohort deltas,0.096489210663997,-0.014920708331660398,e_hull_mean_ev_per_atom,0.40625,18.75,nus,0.71875,21.875,stable,0.625,-3.125,novel,1.0,0.0,unique,0.1156361992871546,0.0704031105393228,rmsd_mean_a,0.1577855902951267,0.07233637143209501,atomic_force_mean_ev_per_a,0.3560663424985162,0.17967151112511331,structure_max_force_mean_ev_per_a,58.0625,25.625,relaxation_steps_mean,MaxF P95 0.5904 -> 0.9914; MaxF maximum 0.8461 -> 4.321,No controlled end-to-end speed claim,1.0,,,,,,
cross_field_interaction_p1,CFI,32,FAIL,C0,experiments/cross_field_interaction_p1/quality_results.csv,D: E-hull/NUS tradeoff; inferior to MLP,0.0992491924529163,-0.012160726542741099,e_hull_mean_ev_per_atom,0.15625,-6.25,nus,0.59375,9.375,stable,0.46875,-18.75,novel,1.0,0.0,unique,0.0350093385079805,-0.010223750239851302,rmsd_mean_a,0.0687635488748465,-0.0166856699881852,atomic_force_mean_ev_per_a,0.1501915536456451,-0.026203277727757796,structure_max_force_mean_ev_per_a,39.84375,7.40625,relaxation_steps_mean,MaxF P95 0.5904 -> 0.5889; MaxF maximum 0.8461 -> 0.8694,No controlled end-to-end speed claim,0.0,,,,,,
distribution_balanced_quality_adapter,M1,16,CONTROL; study verdict: FAIL,C0,experiments/distribution_balanced_quality_adapter/quality_results.csv,Comparator; see within-cohort deltas,0.0862484958281393,-0.011619965803756793,e_hull_mean_ev_per_atom,0.5,6.25,nus,0.625,12.5,stable,0.8125,-6.25,novel,1.0,0.0,unique,0.0619379738451824,0.024089956067094395,rmsd_mean_a,0.1637648597192287,0.045165063027263794,structure_force_mean_ev_per_a,0.3908322604765078,0.15014505682161933,structure_max_force_mean_ev_per_a,51.5,10.25,relaxation_steps_mean,MaxF P95 0.5297 -> 1.036,No controlled end-to-end speed claim,,,,,,,
distribution_balanced_quality_adapter,M2,16,CONTROL; study verdict: FAIL,C0,experiments/distribution_balanced_quality_adapter/quality_results.csv,Comparator; see within-cohort deltas,0.133101388729066,0.035232927097169894,e_hull_mean_ev_per_atom,0.1875,-25.0,nus,0.4375,-6.25,stable,0.6875,-18.75,novel,1.0,0.0,unique,0.033468385375686,-0.004379632402402002,rmsd_mean_a,0.1490222510517435,0.030422454359778597,structure_force_mean_ev_per_a,0.2815412928522478,0.04085408919735933,structure_max_force_mean_ev_per_a,33.25,-8.0,relaxation_steps_mean,MaxF P95 0.5297 -> 0.8669,No controlled end-to-end speed claim,,,,,,,
distribution_balanced_quality_adapter,M2-DB,16,FAIL,C0,experiments/distribution_balanced_quality_adapter/quality_results.csv,E-like: primary adverse,0.1128176292417217,0.014949167609825606,e_hull_mean_ev_per_atom,0.3125,-12.5,nus,0.5,0.0,stable,0.75,-12.5,novel,1.0,0.0,unique,0.1502395245543979,0.11239150677630991,rmsd_mean_a,0.1366358411150306,0.01803604442306571,structure_force_mean_ev_per_a,0.2553701788595117,0.014682975204623194,structure_max_force_mean_ev_per_a,58.125,16.875,relaxation_steps_mean,MaxF P95 0.5297 -> 0.7067,No controlled end-to-end speed claim,,,,,,,
distribution_constrained_quality_adapter_p0,M1,8,CONTROL; study verdict: GO,C0,experiments/distribution_constrained_quality_adapter_p0/quality_results.csv,Comparator; see within-cohort deltas,0.1332792828078964,-0.027452397193110017,avg_energy_above_hull_per_atom_ev,0.25,-12.5,frac_novel_unique_stable,0.375,0.0,frac_stable,0.875,0.0,frac_novel,1.0,0.0,frac_unique,0.0418608236531773,-0.1261154905051955,avg_rmsd_from_relaxation,,,,0.3139512706547975,-0.07342677447013563,pre_relaxation_max_force_mean_ev_per_a,48.75,-49.5,relaxation_steps_mean,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,,,
distribution_constrained_quality_adapter_p0,M2,8,GO,C0,experiments/distribution_constrained_quality_adapter_p0/quality_results.csv,A-like exploratory; n=8 only,0.0849546251708164,-0.07577705483019001,avg_energy_above_hull_per_atom_ev,0.625,25.0,frac_novel_unique_stable,0.75,37.5,frac_stable,0.75,-12.5,frac_novel,1.0,0.0,frac_unique,0.0597299435161289,-0.1082463706422439,avg_rmsd_from_relaxation,,,,0.2588638185989111,-0.128514226526022,pre_relaxation_max_force_mean_ev_per_a,50.875,-47.375,relaxation_steps_mean,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,,,
distribution_constrained_quality_adapter_p1,M1,32,CONTROL; study verdict: BORDERLINE,C0,experiments/distribution_constrained_quality_adapter_p1/quality_results.csv,Comparator; see within-cohort deltas,0.1023788868035131,-0.0294796101028615,avg_energy_above_hull_per_atom_ev,0.4375,12.5,frac_novel_unique_stable,0.6875,9.375,frac_stable,0.65625,-3.125,frac_novel,1.0,0.0,frac_unique,0.0199388053437393,-0.0748321705660102,avg_rmsd_from_relaxation_a,0.0888682216923746,-0.1134426403395129,pre_relaxation_structure_mean_force_mean_ev_per_a,0.1838734233972663,-0.2838036228902075,pre_relaxation_structure_max_force_mean_ev_per_a,25.96875,-26.0,relaxation_steps_mean,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,,,
distribution_constrained_quality_adapter_p1,M2,32,BORDERLINE,C0,experiments/distribution_constrained_quality_adapter_p1/quality_results.csv,A-like E-hull signal; no NUS gain; later replication adverse,0.0819031304759565,-0.049955366430418105,avg_energy_above_hull_per_atom_ev,0.3125,0.0,frac_novel_unique_stable,0.65625,6.25,frac_stable,0.5625,-12.5,frac_novel,0.96875,-3.125,frac_unique,0.0531467698267166,-0.041624206083032904,avg_rmsd_from_relaxation_a,0.0892860779035089,-0.1130247841283786,pre_relaxation_structure_mean_force_mean_ev_per_a,0.1798093058913329,-0.28786774039614094,pre_relaxation_structure_max_force_mean_ev_per_a,27.09375,-24.875,relaxation_steps_mean,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,,,
