step,loss_total,loss_base,loss_atomic_numbers,loss_pos,loss_cell,raw_atomic_tcl,raw_position_tcl,raw_position_anchor,raw_cell_anchor,weighted_atomic_tcl,weighted_position_tcl,weighted_position_anchor,weighted_cell_anchor,balance_atomic_tcl,balance_position_tcl,balance_position_anchor,balance_cell_anchor,warmup_fraction,preclip_gradient_l2,clip_triggered,t_low_mean,t_high_mean,step_seconds
11,0.24161472916603088,0.23202942311763763,0.11684548854827881,1.0692315101623535,0.00826078001409769,2.4210309982299805,0.4246859550476074,0.0005691078258678317,0.0001791793038137257,0.00815161969512701,0.0014299190370365977,3.2143045700649964e-06,5.505296485353028e-07,1.0,1.0,1.0,1.0,0.10101009905338287,0.1625617891550064,False,0.23297108709812164,0.7806864976882935,0.2741711481940001
12,0.36217987537384033,0.3544286787509918,0.11853785812854767,2.2665133476257324,0.009239510633051395,1.8327512741088867,0.25782403349876404,0.0013236193917691708,0.00015486229676753283,0.006787967402487993,0.0009549038368277252,7.865665793360677e-06,4.643634383683093e-07,1.0,1.0,1.0,1.0,0.1111111119389534,0.1685882955789566,False,0.24900056421756744,0.7330845594406128,0.2883517548907548
13,0.3419664204120636,0.32991549372673035,0.15316754579544067,1.7180639505386353,0.004941525403410196,2.625023126602173,0.35510092973709106,0.0014599397545680404,0.00010590946476440877,0.010606154799461365,0.001434751320630312,9.528788723400794e-06,4.981281449545349e-07,1.0,1.0,1.0,1.0,0.12121212482452393,0.1870272010564804,False,0.3033854365348816,0.7733657360076904,0.28434306802228093
14,0.2686038315296173,0.2586645483970642,0.11781139671802521,1.3401751518249512,0.0068356189876794815,1.8746137619018555,0.3952975869178772,0.00045031722402200103,0.00013343409227672964,0.008205380290746689,0.001730258809402585,3.178004135406809e-06,4.557596184895374e-07,1.0,1.0,1.0,1.0,0.13131313025951385,0.16244791448116302,False,0.2960793375968933,0.7194128036499023,0.2901845059823245
15,0.28501278162002563,0.27243807911872864,0.10008023679256439,1.4791641235351562,0.0244414284825325,2.1445910930633545,0.5206536054611206,0.0009639916243031621,0.0006962930201552808,0.010109184309840202,0.0024542594328522682,7.626744263689034e-06,3.6291032756707864e-06,1.0,1.0,1.0,1.0,0.14141413569450378,0.1378537118434906,False,0.17287522554397583,0.6996332406997681,0.28266575606539845
16,0.2701723575592041,0.2583758234977722,0.07810020446777344,1.703858733177185,0.009889762848615646,1.6864287853240967,0.6378523111343384,0.006173316389322281,0.0015348317101597786,0.008517317473888397,0.0032214762177318335,4.8822690587257966e-05,8.92264779395191e-06,1.0,1.0,1.0,1.0,0.1515151560306549,0.41909605264663696,False,0.24613676965236664,0.6696793437004089,0.2979380781762302
17,0.25465381145477295,0.2413427233695984,0.09272687882184982,1.4513452053070068,0.003481334773823619,2.018648386001587,0.45097413659095764,0.0006770365871489048,0.00012105966015951708,0.010874873027205467,0.0024294902104884386,5.98073665969423e-06,7.439024898303614e-07,1.0,1.0,1.0,1.0,0.16161616146564484,0.3569004237651825,False,0.19513174891471863,0.7279760837554932,0.28841685014776886
18,0.2048715204000473,0.1927080750465393,0.100123830139637,0.8119171857833862,0.011392534710466862,1.6917812824249268,0.4322628378868103,0.00043396285036578774,0.0001378074666718021,0.009683596901595592,0.002474231645464897,4.91318860440515e-06,6.974754001021211e-07,1.0,1.0,1.0,1.0,0.17171716690063477,0.1875973641872406,False,0.2383534163236618,0.7408446669578552,0.3054578739684075
19,0.2464066445827484,0.23235777020454407,0.06714402884244919,1.5318293571472168,0.012030803598463535,1.8181750774383545,0.49717238545417786,0.0014540707925334573,0.0004884342197328806,0.01101924292743206,0.0030131659004837275,1.4301064766186755e-05,2.1718799416703405e-06,1.0,1.0,1.0,1.0,0.1818181872367859,0.19013307988643646,False,0.28910210728645325,0.7050749063491821,0.29577854787930846
20,0.21197648346424103,0.20125435292720795,0.07915977388620377,1.1658105850219727,0.005513517186045647,1.3574949502944946,0.3158409595489502,0.0013676658272743225,0.0003775021468754858,0.00868431106209755,0.0020205313339829445,1.4307231140264776e-05,2.985347236972302e-06,1.0,1.0,1.0,1.0,0.19191919267177582,0.16404901444911957,False,0.30524784326553345,0.685859203338623,0.3007068650331348
21,0.2804645895957947,0.2613338530063629,0.1225898340344429,1.3223536014556885,0.006508672144263983,2.441537857055664,0.39724504947662354,0.0010492808651179075,0.0003070542588829994,0.016441332176327705,0.0026750508695840836,1.1699962669808883e-05,2.6466614144737832e-06,1.0,1.0,1.0,1.0,0.20202019810676575,0.18245136737823486,False,0.28041601181030273,0.7716686129570007,0.2955045800190419
22,0.23044031858444214,0.21514925360679626,0.11184784770011902,0.9355680346488953,0.009744588285684586,1.8030967712402344,0.358293741941452,0.0004954816540703177,0.00019537284970283508,0.012749169021844864,0.002533390186727047,7.174578058766201e-06,1.334812168352073e-06,1.0,1.0,1.0,1.0,0.21212121844291687,0.18987900018692017,False,0.2361915111541748,0.7968112230300903,0.29780062288045883
23,0.3103121221065521,0.29249146580696106,0.09899089485406876,1.7958711385726929,0.013913458213210106,2.087977170944214,0.31362175941467285,0.0015765614807605743,0.000805320218205452,0.015466497279703617,0.0023231240920722485,2.3473578039556742e-05,7.573890343337553e-06,1.0,1.0,1.0,1.0,0.2222222238779068,0.2568151652812958,False,0.20532144606113434,0.760634183883667,0.2887285959441215
24,0.3168667256832123,0.30173081159591675,0.09824852645397186,1.95247483253479,0.008234770968556404,1.4209729433059692,0.5290659666061401,0.0020896317437291145,0.0007867609965614974,0.01100416760891676,0.004097144119441509,2.775262873910833e-05,6.845977168268291e-06,1.0,1.0,1.0,1.0,0.23232322931289673,0.170895516872406,False,0.24377012252807617,0.6863405704498291,0.29501115786843
25,0.2559547424316406,0.23903566598892212,0.09560143947601318,1.3295462131500244,0.01047957967966795,1.7869281768798828,0.3032380938529968,0.002087244763970375,0.0002140263095498085,0.014439824037253857,0.0024504088796675205,2.7093603421235457e-05,1.7434211940781097e-06,1.0,1.0,1.0,1.0,0.24242424964904785,0.26659882068634033,False,0.2726503014564514,0.758704662322998,0.4295220950152725
26,0.23574554920196533,0.21811863780021667,0.10578089952468872,1.08675217628479,0.003662534523755312,1.8276095390319824,0.26461923122406006,0.0006740130484104156,0.0004364540509413928,0.015383918769657612,0.00222743465565145,1.096630785468733e-05,4.597363840730395e-06,1.0,1.0,1.0,1.0,0.2525252401828766,0.18367207050323486,False,0.24562564492225647,0.7633748054504395,0.28078014007769525
27,0.2074466347694397,0.18877215683460236,0.08615411072969437,0.9846776127815247,0.0041502732783555984,1.5559372901916504,0.5757673978805542,0.0008537118555977941,0.00018933971296064556,0.01362099964171648,0.005040388088673353,1.1680355783028062e-05,1.402937527927861e-06,1.0,1.0,1.0,1.0,0.2626262605190277,0.1880253404378891,False,0.33280354738235474,0.7705094218254089,0.2910640698391944
28,0.2659927010536194,0.24441850185394287,0.08125148713588715,1.5204766988754272,0.011119339615106583,1.7799023389816284,0.5893630981445312,0.001444430323317647,0.0011718824971467257,0.01618093065917492,0.005357846152037382,2.0682076865341514e-05,1.4740953702130355e-05,1.0,1.0,1.0,1.0,0.27272728085517883,0.1757117062807083,False,0.2584083676338196,0.7172815203666687,0.28206690889783204
29,0.2649911344051361,0.24259448051452637,0.1277107298374176,1.0598526000976562,0.008898472413420677,2.0698084831237793,0.3040921092033386,0.0007936960901133716,0.0005320258787833154,0.019513346254825592,0.0028668618761003017,1.2579076610563789e-05,3.869065494654933e-06,1.0,1.0,1.0,1.0,0.28282827138900757,0.25355058908462524,False,0.3430321514606476,0.789259672164917,0.28322694706730545
30,0.27683764696121216,0.2517395615577698,0.09951420873403549,1.442022442817688,0.008023112080991268,2.361386775970459,0.20482394099235535,0.0005560162244364619,0.002257650950923562,0.02305731177330017,0.0019999644719064236,9.570527254254557e-06,3.12316078634467e-05,1.0,1.0,1.0,1.0,0.2929292917251587,0.18289430439472198,False,0.29219239950180054,0.68336421251297,0.27372545283287764
31,0.3019162118434906,0.2789679765701294,0.13012546300888062,1.41469407081604,0.007373115513473749,1.8913414478302002,0.37636709213256836,0.0021952406968921423,0.0006643857341259718,0.019104458391666412,0.00380168785341084,3.500961611280218e-05,7.072464541124646e-06,1.0,1.0,1.0,1.0,0.3030303120613098,0.1946239322423935,False,0.3104221820831299,0.7320107221603394,0.285546155879274
32,0.25971075892448425,0.2343606799840927,0.09578397870063782,1.3524267673492432,0.003334030508995056,1.9068161249160767,0.5201773643493652,0.0007728288765065372,0.0003416095278225839,0.019902793690562248,0.005429460667073727,1.3384469639277086e-05,4.436258677742444e-06,1.0,1.0,1.0,1.0,0.31313130259513855,0.2486066371202469,False,0.27320727705955505,0.7059565782546997,0.28256310406140983
33,0.3409885764122009,0.3110691010951996,0.11271942406892776,1.8981225490570068,0.008537421002984047,2.3882298469543457,0.37173861265182495,0.010820450261235237,0.0005193090182729065,0.02573176845908165,0.004005264490842819,0.00017761286289896816,4.814131443708902e-06,1.0,1.0,1.0,1.0,0.3232323229312897,0.3972477912902832,False,0.3178296685218811,0.7148598432540894,0.2860282091423869
34,0.24609613418579102,0.21851526200771332,0.0921822190284729,1.2002497911453247,0.006308071315288544,2.193946361541748,0.28708577156066895,0.0006428988999687135,0.00016991791198961437,0.024377182126045227,0.0031898419838398695,1.1797092156484723e-05,2.0547181520669255e-06,1.0,1.0,1.0,1.0,0.3333333432674408,0.145957350730896,False,0.26642894744873047,0.6803862452507019,0.2761722831055522
35,0.316655695438385,0.28862112760543823,0.0958307683467865,1.793450117111206,0.01344534195959568,2.013521194458008,0.4307430386543274,0.000977856107056141,0.0021429758053272963,0.02305041067302227,0.0049310652539134026,1.6888108802959323e-05,3.621899304562248e-05,1.0,1.0,1.0,1.0,0.34343433380126953,0.21083594858646393,False,0.26887431740760803,0.7449616193771362,0.2881869040429592
36,0.29507604241371155,0.2723591923713684,0.12730826437473297,1.2856159210205078,0.01648932881653309,1.7348363399505615,0.18951267004013062,0.0016256819944828749,0.0004549650475382805,0.020444199442863464,0.0022333143278956413,3.361984636285342e-05,5.713641257898416e-06,1.0,1.0,1.0,1.0,0.35353535413742065,0.2163763791322708,False,0.2677176594734192,0.7831607460975647,0.2843070379458368
37,0.26218515634536743,0.23422318696975708,0.10258283466100693,1.2505316734313965,0.006587180774658918,1.9799079895019531,0.3250773549079895,0.0008301299531012774,0.00027073812088929117,0.023998884484171867,0.003940331283956766,1.899549715744797e-05,3.7552727008005604e-06,1.0,1.0,1.0,1.0,0.3636363744735718,0.14764370024204254,False,0.2557506561279297,0.6749324202537537,0.2809669130947441
38,0.2891979217529297,0.25953102111816406,0.11911571770906448,1.3741010427474976,0.0030052191577851772,1.9685035943984985,0.4115416407585144,0.0005653765401802957,0.00021413087961263955,0.024523446336388588,0.005126949865370989,1.332634019490797e-05,3.1762147045810707e-06,1.0,1.0,1.0,1.0,0.3737373650074005,0.20360831916332245,False,0.28487086296081543,0.8040310144424438,0.29173862491734326
39,0.25275906920433044,0.21961989998817444,0.10299791395664215,1.0432515144348145,0.012296823784708977,2.3460397720336914,0.2421960085630417,0.001052209408953786,0.00020176073303446174,0.030016670003533363,0.003098804270848632,2.1242887669359334e-05,2.446302687530988e-06,1.0,1.0,1.0,1.0,0.38383838534355164,0.22780229151248932,False,0.29358890652656555,0.7456806898117065,0.28347234101966023
40,0.28549253940582275,0.25428128242492676,0.08462350070476532,1.6406389474868774,0.00559388380497694,1.825966477394104,0.549746036529541,0.0005728924879804254,0.00010477560863364488,0.023977337405085564,0.007218887098133564,1.3712546206079423e-05,1.3114745343045797e-06,1.0,1.0,1.0,1.0,0.39393940567970276,0.1626022458076477,False,0.22810760140419006,0.6819907426834106,0.29125117510557175
41,0.31397947669029236,0.2880956530570984,0.10166831314563751,1.4073874950408936,0.04568859189748764,1.4133937358856201,0.5071136355400085,0.0005186088965274394,0.00024037111143115908,0.01903560571372509,0.006829813122749329,1.4585413737222552e-05,3.823287897830596e-06,1.0,1.0,1.0,1.0,0.4040403962135315,0.3264182209968567,False,0.28029951453208923,0.7435070276260376,0.28743538493290544
42,0.3641773760318756,0.3377782106399536,0.0938129797577858,2.400632381439209,0.0039020017720758915,1.4530456066131592,0.45725536346435547,0.0011696527944877744,0.0001717188279144466,0.020058879628777504,0.006312279496341944,2.5395507691428065e-05,2.6059697120217606e-06,1.0,1.0,1.0,1.0,0.4141414165496826,0.16615982353687286,False,0.20646905899047852,0.6954626441001892,0.2974033721257001
43,0.3666749596595764,0.3285057842731476,0.11700601875782013,2.0502536296844482,0.006474410183727741,2.2883896827697754,0.4101111888885498,0.0003171107091475278,8.974340744316578e-05,0.032361067831516266,0.005799552425742149,7.386548077192856e-06,1.1500247865114943e-06,1.0,1.0,1.0,1.0,0.42424243688583374,0.16049917042255402,False,0.23643101751804352,0.7802156805992126,0.2882146069314331
44,0.35666215419769287,0.32810765504837036,0.1263572871685028,1.9226824045181274,0.009482134133577347,1.5039844512939453,0.46596819162368774,0.0012956305872648954,0.0002877822844311595,0.021774858236312866,0.00674634100869298,2.9452961825882085e-05,3.845285846182378e-06,1.0,1.0,1.0,1.0,0.4343434274196625,0.2997191250324249,False,0.3143865466117859,0.7227383852005005,0.2832580809481442
45,0.2365609109401703,0.19299554824829102,0.11910535395145416,0.7134535908699036,0.002544807270169258,2.659635066986084,0.2807967960834503,4.5286469685379416e-05,0.0001435473095625639,0.03940200060606003,0.004159952513873577,1.2233454071974847e-06,2.195694833062589e-06,1.0,1.0,1.0,1.0,0.4444444477558136,0.18752145767211914,False,0.24636508524417877,0.7790730595588684,0.2794603898655623
46,0.27790719270706177,0.24173200130462646,0.11392567306756973,1.1952909231185913,0.008277243003249168,2.0727603435516357,0.31405261158943176,0.0004299671854823828,8.249987149611115e-05,0.031405460089445114,0.004758372902870178,1.0440974619996268e-05,9.276215564568702e-07,1.0,1.0,1.0,1.0,0.4545454680919647,0.1658342331647873,False,0.2487342357635498,0.7764467000961304,0.2824766170233488
47,0.3730516731739044,0.3322361409664154,0.16003835201263428,1.608733892440796,0.011324397288262844,2.3830809593200684,0.25003477931022644,0.0006034838734194636,0.0009531688410788774,0.03690967336297035,0.0038725927006453276,1.60816252900986e-05,1.7179330825456418e-05,1.0,1.0,1.0,1.0,0.46464645862579346,0.18160444498062134,False,0.2909061908721924,0.784795880317688,0.28637824207544327
48,0.3361935317516327,0.2956378161907196,0.10444551706314087,1.8043901920318604,0.010753260925412178,2.0621345043182373,0.4991064667701721,0.0005693266284652054,0.0005819530924782157,0.03263310343027115,0.007898317649960518,1.5194176739896648e-05,9.113258784054779e-06,1.0,1.0,1.0,1.0,0.4747474789619446,0.15737242996692657,False,0.19060328602790833,0.635020911693573,0.28499191417358816
49,0.2829274535179138,0.24408113956451416,0.10765400528907776,1.3097316026687622,0.005453974474221468,2.0210602283477783,0.381456583738327,0.0004669567570090294,0.00012779381358996034,0.032663602381944656,0.006164954975247383,1.5331985196098685e-05,2.430582753731869e-06,1.0,1.0,1.0,1.0,0.4848484992980957,0.15067411959171295,False,0.2257167249917984,0.6852645874023438,0.28302180604077876
50,0.36476150155067444,0.32835909724235535,0.10369353741407394,2.122673988342285,0.012398169375956059,1.6462763547897339,0.5582890510559082,0.0009316504001617432,0.00022879250172991306,0.02716078795492649,0.009210829623043537,2.5481873308308423e-05,5.3165617828199174e-06,1.0,1.0,1.0,1.0,0.49494948983192444,0.1947394460439682,False,0.2230817675590515,0.735301673412323,0.44428795808926225
51,0.3080645799636841,0.26349344849586487,0.10745048522949219,1.4650466442108154,0.009538313373923302,2.150369644165039,0.494488388299942,0.0011584671447053552,0.00011992374493274838,0.036201510578393936,0.008324720896780491,4.296235056244768e-05,1.9348722162249032e-06,1.0,1.0,1.0,1.0,0.5050504803657532,0.17370755970478058,False,0.21459871530532837,0.7400195002555847,0.2824807669967413
52,0.30917268991470337,0.26003512740135193,0.11975766718387604,1.2867364883422852,0.011603813618421555,2.420727491378784,0.43959885835647583,0.00042572052916511893,0.00037637483910657465,0.04156804457306862,0.007548667024821043,1.2999109458178282e-05,7.861651283747051e-06,1.0,1.0,1.0,1.0,0.5151515007019043,0.25978848338127136,False,0.23792468011379242,0.7975800633430481,0.27977276989258826
53,0.353373646736145,0.3080751597881317,0.11539903283119202,1.8694689273834229,0.005729221738874912,2.111772298812866,0.473115473985672,0.001044579315930605,0.0005393071915023029,0.03697378933429718,0.008283503353595734,2.9514647394535132e-05,1.1672676919260994e-05,1.0,1.0,1.0,1.0,0.5252525210380554,0.4119689166545868,False,0.2899588346481323,0.7607699036598206,0.288643604144454
54,0.3809584975242615,0.33342695236206055,0.12089378386735916,1.9094120264053345,0.021591972559690475,2.198211669921875,0.463828980922699,0.0008862292161211371,0.00014802080113440752,0.03922734782099724,0.008277082815766335,2.4199511244660243e-05,2.920807901318767e-06,1.0,1.0,1.0,1.0,0.5353535413742065,0.21840496361255646,False,0.3217971622943878,0.7804220914840698,0.28145881299860775
55,0.2515960931777954,0.20534484088420868,0.1002860963344574,0.950543999671936,0.010004337877035141,2.0915234088897705,0.4514199495315552,0.0003147211973555386,0.00017617872799746692,0.038027696311473846,0.008207635022699833,1.2345398317847867e-05,3.580947122827638e-06,1.0,1.0,1.0,1.0,0.5454545617103577,0.18711905181407928,False,0.27257227897644043,0.7153880596160889,0.28011444513686
56,0.3095031678676605,0.26011574268341064,0.15261267125606537,1.0355308055877686,0.003949998877942562,2.259350299835205,0.4067329168319702,0.00037410054937936366,0.00016518127813469619,0.04183981940150261,0.007532090879976749,1.2326350770308636e-05,3.194517375959549e-06,1.0,1.0,1.0,1.0,0.5555555820465088,0.5023428201675415,False,0.2393098771572113,0.7369474172592163,0.2939301978331059
57,0.39472270011901855,0.35166579484939575,0.10655698925256729,1.909813404083252,0.054127492010593414,1.8452370166778564,0.4364219307899475,0.0007234237273223698,0.000545231974683702,0.034792348742485046,0.008228830993175507,2.163783756259363e-05,1.4077480955165811e-05,1.0,1.0,1.0,1.0,0.5656565427780151,0.313188761472702,False,0.22804227471351624,0.7634265422821045,0.2910643189679831
58,0.24811716377735138,0.19941329956054688,0.08994279056787491,1.0572943687438965,0.0037410599179565907,2.049102783203125,0.4865584373474121,0.0006752436747774482,0.0006334629142656922,0.03932621330022812,0.00933798961341381,2.2808797439211048e-05,1.685107963567134e-05,1.0,1.0,1.0,1.0,0.5757575631141663,0.15945570170879364,False,0.23877163231372833,0.7285995483398438,0.27854658104479313
59,0.33658337593078613,0.2836301326751709,0.10719021409749985,1.3509080410003662,0.04134911298751831,2.243582248687744,0.4661829471588135,0.0006732622859999537,0.0005800983053632081,0.04381406679749489,0.009103909134864807,2.1217927496763878e-05,1.4057834960112814e-05,1.0,1.0,1.0,1.0,0.5858585834503174,0.22149698436260223,False,0.24040421843528748,0.7214770317077637,0.2912240820005536
60,0.27521276473999023,0.2210359126329422,0.10655572265386581,1.087041974067688,0.005775981582701206,2.4127042293548584,0.3137105405330658,0.00033437483943998814,0.0001387017546221614,0.04792913794517517,0.006231959909200668,1.2156172488175798e-05,3.6062670005776454e-06,1.0,1.0,1.0,1.0,0.5959596037864685,0.18569782376289368,False,0.29006946086883545,0.7452863454818726,0.28113531903363764
61,0.3278418481349945,0.27800697088241577,0.1265299916267395,1.371093511581421,0.014367617666721344,2.104689121246338,0.36096227169036865,0.00046258053043857217,0.0005282114143483341,0.0425189733505249,0.007292167283594608,1.548108775750734e-05,8.26677933218889e-06,1.0,1.0,1.0,1.0,0.6060606241226196,0.20965224504470825,False,0.2770567536354065,0.781769335269928,0.2817247430793941
62,0.4070292115211487,0.35546666383743286,0.12947872281074524,2.1001336574554443,0.015974579378962517,2.317941665649414,0.18889161944389343,0.0011314040748402476,0.0011520636035129428,0.047607555985450745,0.003879592288285494,4.431065826793201e-05,3.1087882234714925e-05,1.0,1.0,1.0,1.0,0.6161616444587708,0.4082147479057312,False,0.30346474051475525,0.7327176332473755,0.28859223891049623
63,0.32242318987846375,0.2775329351425171,0.11261264979839325,1.5640156269073486,0.008518712595105171,1.7831089496612549,0.3651992082595825,0.0010594187770038843,0.0003244347753934562,0.037223149091005325,0.007623686920851469,3.592169741750695e-05,7.498285413021222e-06,1.0,1.0,1.0,1.0,0.6262626051902771,0.37241020798683167,False,0.24002951383590698,0.7223941087722778,0.28792235697619617
64,0.26109778881073,0.23022782802581787,0.05735986679792404,1.623370885848999,0.01053087878972292,0.9506978392601013,0.5032587051391602,0.0005912650958634913,0.00029017592896707356,0.020166318863630295,0.010675184428691864,2.1515048501896672e-05,6.942905656615039e-06,1.0,1.0,1.0,1.0,0.6363636255264282,0.13575062155723572,False,0.18530529737472534,0.5900017619132996,0.29177904198877513
65,0.3109988570213318,0.25868484377861023,0.06113487109541893,1.7649446725845337,0.02105550654232502,1.8780982494354248,0.547749400138855,0.0007857172749936581,0.00033616964356042445,0.040470801293849945,0.01180335320532322,3.164886584272608e-05,8.20839613879798e-06,1.0,1.0,1.0,1.0,0.6464646458625793,0.18737263977527618,False,0.22850562632083893,0.6537255048751831,0.2811440429650247
66,0.3588557541370392,0.30304253101348877,0.10010769218206406,1.8808400630950928,0.01485083345323801,2.087794303894043,0.46066394448280334,0.0010186393046751618,0.00010774640395538881,0.04569246619939804,0.01008187048137188,3.6540757719194517e-05,2.3462464469048427e-06,1.0,1.0,1.0,1.0,0.6565656661987305,0.22144848108291626,False,0.29617154598236084,0.7189946174621582,0.27656836598180234
67,0.23489157855510712,0.17807258665561676,0.09800741076469421,0.6520059108734131,0.014864575117826462,2.037904739379883,0.5185446739196777,0.00022569089196622372,0.00010952576849376783,0.04528677463531494,0.011523215100169182,6.896397735545179e-06,2.107988393618143e-06,1.0,1.0,1.0,1.0,0.6666666865348816,0.15653257071971893,False,0.2887043058872223,0.7730847597122192,0.28796465415507555
68,0.28630656003952026,0.22438281774520874,0.0879293754696846,1.308870553970337,0.005566375330090523,2.2011711597442627,0.543164074420929,0.00037123990477994084,0.00011838660429930314,0.04965604841709137,0.012253195978701115,1.2867633813584689e-05,1.618081910237379e-06,1.0,1.0,1.0,1.0,0.6767676472663879,0.18079650402069092,False,0.2139967978000641,0.6873922348022461,0.27239666087552905
69,0.31325897574424744,0.27415764331817627,0.10147882252931595,1.605584740638733,0.01212034747004509,1.3098771572113037,0.39731767773628235,0.00029015529435127974,0.0001298134884564206,0.029990453273057938,0.009096835739910603,1.1039304808946326e-05,3.010105501743965e-06,1.0,1.0,1.0,1.0,0.6868686676025391,0.20177915692329407,False,0.2691619098186493,0.6763952374458313,0.30040743201971054
70,0.3308396339416504,0.2950255274772644,0.0779871791601181,2.0431885719299316,0.012719494290649891,1.0842645168304443,0.4541708827018738,0.0016564367106184363,0.0003333960485178977,0.02518998458981514,0.010551445186138153,6.597697938559577e-05,6.691021553706378e-06,1.0,1.0,1.0,1.0,0.6969696879386902,0.1531820446252823,False,0.29343181848526,0.6678057909011841,0.28417054610326886
71,0.30159926414489746,0.24823540449142456,0.07444792985916138,1.6918890476226807,0.004598582163453102,1.5705277919769287,0.6916123628616333,0.0012071653036400676,0.00020149917691014707,0.03701580688357353,0.0163006279617548,4.243550210958347e-05,4.999269549443852e-06,1.0,1.0,1.0,1.0,0.7070707082748413,0.2027948647737503,False,0.24276745319366455,0.6686775088310242,0.28052804502658546
72,0.4487277865409851,0.39260947704315186,0.1140274852514267,2.7276949882507324,0.005812476854771376,1.8516838550567627,0.4948557913303375,0.0005123225273564458,0.00010838182788575068,0.04426584392786026,0.01182988565415144,1.993625846807845e-05,2.633059921208769e-06,1.0,1.0,1.0,1.0,0.7171717286109924,0.2054796665906906,False,0.22363576292991638,0.7140073776245117,0.2997357670683414
